"BH.action","CA.action","BU.action","PC.action","BO.action","BV.action","BT.action","EL.action","FP.action","CH.action","DP.action","ER.action","environment.initial","BH.outcome","CA.outcome","BU.outcome","PC.outcome","BO.outcome","BV.outcome","BT.outcome","EL.outcome","FP.outcome","CH.outcome","DP.outcome","ER.outcome","diversity.desirability"
0,1,1,0,0,1,0,0,0,0,0,0,0,0,2.13444886324993e-32,0.569735395646641,0,0,0.297225572979494,0,0,0,0,0,0,0.642898790224057
1,1,1,0,0,1,0,0,0,0,0,0,0,0.352095290900259,5.53377130882372e-26,0.503380196051602,0,0,0.167345307651027,0,0,0,0,0,0,1.01220330910497
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.575199040462471,0,0.297225572979494,0,0,0,0,0,0,0.64149150877762
1,0,0,1,0,1,0,0,0,0,0,0,0,0.352095290900259,0,0,0.522778575534089,0,0.167345307651027,0,0,0,0,0,0,1.00638071302211
0,1,0,1,0,1,0,0,0,0,0,0,0,0,1.79621189605447e-59,0,0.575199040462471,0,0.297225572979494,0,0,0,0,0,0,0.64149150877762
1,1,0,1,0,1,0,0,0,0,0,0,0,0.352095290900259,1.13654939327922e-55,0,0.522778575534089,0,0.167345307651027,0,0,0,0,0,0,1.00638071302211
0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0.227873733543474,0.380093156381291,0,0.297225572979494,0,0,0,0,0,0,1.07727895444481
1,0,1,1,0,1,0,0,0,0,0,0,0,0.352095290900259,0,0.144333752557028,0.399199767403799,0,0.167345307651027,0,0,0,0,0,0,1.29596175194926
0,1,1,1,0,1,0,0,0,0,0,0,0,0,1.02632880726572e-62,0.227873733543474,0.380093156381291,0,0.297225572979494,0,0,0,0,0,0,1.07727895444481
1,1,1,1,0,1,0,0,0,0,0,0,0,0.352095290900258,9.35047409142439e-58,0.144333752557632,0.399199767403246,0,0.167345307651027,0,0,0,0,0,0,1.29596175194982
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.693193876004243,4.53438465807367e-92,0,0,0,0,0,0,1.37340799809092e-89
1,0,0,0,1,1,0,0,0,0,0,0,0,0.362233577550044,0,0,0,0.622141844876495,1.8752367970878e-118,0,0,0,0,0,0,0.657873552283874
0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.308367146866044,0,0,0.452464634476259,5.50154022672733e-24,0,0,0,0,0,0,0.675103217033051
1,1,0,0,1,1,0,0,0,0,0,0,0,0.340810413884507,0.188560170317196,0,0,0.479143011565845,3.93677622472953e-76,0,0,0,0,0,0,1.0337217763114
0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0.569735395640217,0,1.38247655480561e-11,0.297225572967423,0,0,0,0,0,0,0.642898790621902
1,0,1,0,1,1,0,0,0,0,0,0,0,0.348158651409299,0,0.495168440220465,0,0.0191098609634054,0.153649869074911,0,0,0,0,0,0,1.07767955188528
0,1,1,0,1,1,0,0,0,0,0,0,0,0,3.50184772679622e-32,0.569735395639721,0,1.48930124650237e-11,0.297225572966491,0,0,0,0,0,0,0.642898790651366
1,1,1,0,1,1,0,0,0,0,0,0,0,0.348155005486305,2.54535104226621e-25,0.495161295905447,0,0.0191266786397768,0.153637534153134,0,0,0,0,0,0,1.07772017182867
0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.441415898971841,0.312701987842657,0.0495535280850555,0,0,0,0,0,0,0.868181332590572
1,0,0,1,1,1,0,0,0,0,0,0,0,0.318037733340555,0,0,0.364376436020598,0.327136202488416,8.91369844146037e-31,0,0,0,0,0,0,1.0968574957277
0,1,0,1,1,1,0,0,0,0,0,0,0,0,1.18805119570787e-51,0,0.441415898971841,0.312701987842657,0.0495535280850555,0,0,0,0,0,0,0.868181332590572
1,1,0,1,1,1,0,0,0,0,0,0,0,0.318037733340555,4.84544442025617e-48,0,0.364376436020598,0.327136202488416,1.32191982235407e-30,0,0,0,0,0,0,1.0968574957277
0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0.176754467422934,0.363873961615331,0.140213789560345,0.186170840150227,0,0,0,0,0,0,1.31356765840206
1,0,1,1,1,1,0,0,0,0,0,0,0,0.311640641787703,0,0.0439897976188149,0.356668821136299,0.284444219662129,1.05574025455725e-14,0,0,0,0,0,0,1.2268176957177
0,1,1,1,1,1,0,0,0,0,0,0,0,0,1.7493799360769e-58,0.176754468863514,0.363873961248757,0.140213787359966,0.186170842085018,0,0,0,0,0,0,1.31356765826178
1,1,1,1,1,1,0,0,0,0,0,0,0,0.311639715439369,3.10081665435599e-50,0.0439957807542195,0.356667964840835,0.284438128318849,1.17548741549074e-14,0,0,0,0,0,0,1.22682912751959
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.345527057690986,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0.269028295678878,0,0,0,0,0,0.281188172153535,0,0,0,0,0,0.692902951959963
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.55455272940841,0,0,0,0,0.152236279627916,0,0,0,0,0,0.521012821716579
1,1,0,0,0,0,1,0,0,0,0,0,0,0.269028295678878,0.505914116023143,0,0,0,0,0.104850507701819,0,0,0,0,0,0.934002322099141
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.436699772348906,0,0,0,0.319582713105312,0,0,0,0,0,0.681108153244336
1,0,1,0,0,0,1,0,0,0,0,0,0,0.269028295678878,0,0.39934624292425,0,0,0,0.25746300170132,0,0,0,0,0,1.07771883105994
