"TREP.action","TPRA.action","PTRI.action","PPRA.action","GPRA.action","DGLO.action","AELA.action","ASYL.action","APRA.action","NEWSPS.action","month.initial","TREP.outcome","TPRA.outcome","PTRI.outcome","PPRA.outcome","GPRA.outcome","DGLO.outcome","AELA.outcome","ASYL.outcome","APRA.outcome","NEWSPS.outcome","diversity.desirability"
0,0,0,1,0,0,0,1,0,0,"May",0,0,0,2.27,0,0,0,0,0,9.32,0.494607202912444
0,0,0,1,0,0,0,1,0,0,"August",0,0,0,0,0,0,0,0,0,41.1,0
1,0,1,1,1,1,0,1,0,0,"May",0,0,4.39,0,0,237,0,0,0,54.7,0.552609310852141
1,0,1,1,1,1,0,1,0,0,"August",0,0,0,0,0,134.8,0,0,0,16,0.338284641842432
1,0,0,0,0,1,0,0,0,0,"May",0,0,0,0,0,164.3,0,0,0,5.98,0.15210773438832
1,0,0,0,0,1,0,0,0,0,"August",0,0,0,0,0,57,0,0,0,16.72,0.535385798203319
1,0,1,1,0,0,1,1,1,0,"May",0,0,2.11,0,0,0,196,0,46.6,20.7,0.766730991788701
1,0,1,1,0,0,1,1,1,0,"August",0,0,0.35,0,0,0,107.6,0,11.98,0,0.344484973235807
1,1,0,1,0,0,0,1,0,0,"May",0,109.6,0,238.8,0,0,0,0,0,0.31,0.629297585623116
1,1,0,1,0,0,0,1,0,0,"August",0,113.6,0,87.5,0,0,0,0,0,4.72,0.778242024372471
1,0,1,0,0,0,0,1,1,0,"May",9.94,0,1.02,0,0,0,0,0,136.7,0.78,0.318720338530636
1,0,1,0,0,0,0,1,1,0,"August",0,0,0,0,0,0,0,0,14.56,9.84,0.674318685595005
1,0,0,0,1,0,0,1,0,0,"May",23.6,0,0,0,50,0,0,0,0,3.16,0.773169597630321
1,0,0,0,1,0,0,1,0,0,"August",0,0,0,0,250.1,0,0,0,0,0,0
0,0,1,0,0,1,0,0,0,0,"May",0,0,0.65,0,0,124,0,0,0,25,0.478350681934729
0,0,1,0,0,1,0,0,0,0,"August",0,0,0,0,0,63.1,0,0,0,22.51,0.576106124094368
1,1,1,0,1,1,1,0,0,0,"May",0,241.8,0.63,0,3.61,2.55,133.5,0,0,9.73,0.842795445003511
1,1,1,0,1,1,1,0,0,0,"August",0,69.7,0,0,1.1,3.73,47,0,0,0.68,0.865551916045157
1,0,1,0,0,0,1,0,1,0,"May",5.25,0,1.3,0,0,0,166,0,13.6,12.06,0.631833421808839
1,0,1,0,0,0,1,0,1,0,"August",0,0,0.03,0,0,0,97.5,0,5.74,17.77,0.602513932442316
0,1,0,0,1,0,0,0,0,0,"May",0,71,0,0,48.2,0,0,0,0,19,0.982342166839925
0,1,0,0,1,0,0,0,0,0,"August",0,0,0,0,119.3,0,0,0,0,3.67,0.134201836847235
1,1,0,0,1,0,1,1,1,0,"May",0,105.7,0,0,2.91,0,61.6,0,56.5,2.89,1.16556923406545
1,1,0,0,1,0,1,1,1,0,"August",0,10.69,0,0,11.75,0,14.28,0,29.3,0.81,1.34356557521767
1,1,1,1,1,1,1,1,1,0,"May",0,4.36,3.27,0,13.2,6.5,140.6,0,27.3,3.29,1.02879004576508
1,1,1,1,1,1,1,1,1,0,"August",0,0,0,0,22.46,0,22.23,0,2.4,0,0.859158004793423
0,0,0,1,0,1,0,1,0,0,"May",0,0,0,0,0,70.4,0,0,0,26.4,0.585952618303551
0,0,0,1,0,1,0,1,0,0,"August",0,0,0,0,0,52,0,0,0,17.5,0.564302453541971
0,0,0,1,1,0,0,0,0,0,"May",0,0,0,2.33,20,0,0,0,0,24.8,0.850269360431186
0,0,0,1,1,0,0,0,0,0,"August",0,0,0,0,5.06,0,0,0,0,33.8,0.386787638246203
